Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$89T - $2L (Glassdoor Est.),"Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive and rapidly growing.

The Analytics team powers data-informed decision-making at Tinder. We are looking to add a hardworking, creative Data Scientist to our growing team. As a Data Scientist on Analytics, you will partner with multiple teams - including Product, Marketing, Engineering, and Finance - to improve our extraordinary platform. You will use this comprehensive dataset to develop experiments, forecasting models, automated reports, and various exploratory insights to guide our business decisions.

An effective Data Scientist at Tinder must have a passion and aptitude for turning sophisticated problems into concrete hypotheses that can be answered through thorough data analysis and A/B testing. They must also be able to disseminate their takeaways and recommendations to a variety of partners within our organization via presentations, reports, and dashboards. In this role, your insights will influence both the performance of our business and the experience of our users.",3.5,"Tinder
3.5","San Francisco, CA",1001 to 5000 Employees,2015,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist,$1L - $2L (Glassdoor Est.),"Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive and rapidly growing.

The Analytics team powers data-informed decision-making at Tinder. We are looking to add a hardworking, creative Data Scientist to our growing team. As a Data Scientist on Analytics, you will partner with multiple teams - including Product, Marketing, Engineering, and Finance - to improve our extraordinary platform. You will use this comprehensive dataset to develop experiments, forecasting models, automated reports, and various exploratory insights to guide our business decisions.

An effective Data Scientist at Tinder must have a passion and aptitude for turning sophisticated problems into concrete hypotheses that can be answered through thorough data analysis and A/B testing. They must also be able to disseminate their takeaways and recommendations to a variety of partners within our organization via presentations, reports, and dashboards. In this role, your insights will influence both the performance of our business and the experience of our users.",3.5,"Tinder
3.5","San Francisco, CA",1001 to 5000 Employees,2015,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist,$1L - $2L (Employer Est.),"Position: Data Scientist
Location: California (Remote till Covid-19)
Duration: Permanent / Full Time
Two main skills required are NLP and Python.
Job Description:
Developing data pipeline stages like cleaning, validation, wrangling etc. for a variety of data types like text, images and categorical or custom
Design and develop metrics/scoring pipelines using machine learning techniques",4.7,"Kani Solutions Inc.
4.7","San Francisco, CA",201 to 500 Employees,2009,Company - Private,IT Service,Information Technology,$5 to $10 million (USD)
"Data Scientist, Analytics & Data",$77T - $1L (Glassdoor Est.),"Job Title: Data Scientist, Analytics & Data
Location: 753 Davis Street, San Francisco, CA 94133
Duties: Manage analytic projects, including: meeting with stakeholders to define project objectives; developing an analytical approach and guiding the direction of the analysis; and synthesizing results into a cohesive narrative, explaining trends observed in the data. Develop SQL and Python code to clean, aggregate, and analyze data to better understand the demographic profile of our core customer and their browse and purchase behavior. Utilize multi-terabyte relational databases (Teradata and Azure), program in SQL/SAS/Excel, and publish business intelligence reporting to corporate executives for KPI tracking, performance trending, and forecasting. Apply machine learning algorithms and predictive statistical models such as linear, logistic, clustering, and classification to build behavioral based scoring models, such as customer’s lifetime value (CLV), used to optimize targeted marketing campaigns. Employ unsupervised machine learning models to identify customer segments based on huge volume of browse and purchase data to drive effective marketing strategies. Employ expertise in data visualization tools and techniques to translate analytic insights into visualizations that clearly communicate key findings and business trends to enhance insights-driven decision making. Design and build dashboards that automate processes and empower business stakeholders to self-serve analytical needs. Deliver quantitative and statistical analysis of customer behavior and provide guidance and actionable insight on brands’ multi-channel marketing initiatives to drive new customer acquisition, reactivation, and retention. Assist with primary consumer survey data collection and analysis, including but not limit to multiple types of survey responses data such as binary, multiple-choice, rating scale, and open-ended responses; apply text mining techniques to conduct sentiment analysis on unstructured text data to extract hidden semantic structures and themes in the text. Collaborate with IT partners to improve new data capture, data quality, and to drive efficiency in usage. Customize the communication of analytic results to the audience receiving the insights (including: tailoring the level of detail/technicality, mode of communication, etc.).",3.2,"Williams Sonoma
3.2","San Francisco, CA",10000+ Employees,1956,Company - Public,Home Furniture and Houseware Shops,Retail,$5 to $10 billion (USD)
University Grad Data Scientist,$97T - $2L (Glassdoor Est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
We're looking for university grad Data Scientists to help us connect Pinners to actionable content that improves the Pinner experience. You’ll apply quantitative analysis, modeling, and data mining to improve the relevance of Pins across our Ads, Search, and Feeds products.
What you’ll do:

Not Specified
0",4.2,"Pinterest
4.2","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
University Grad Data Scientist,$1L - $2L (Glassdoor Est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
We're looking for university grad Data Scientists to help us connect Pinners to actionable content that improves the Pinner experience. You’ll apply quantitative analysis, modeling, and data mining to improve the relevance of Pins across our Ads, Search, and Feeds products.
What you’ll do:

Not Specified
0",4.2,"Pinterest
4.2","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
"Data Scientist, Go To Market",$67T - $2L (Glassdoor Est.),"About The Role:
Do you want to help define what data means at Notion? As one of our first Data Scientists, you'll be instrumental in setting what our data strategy looks like as we grow the business, and then doing the hands on work to execute against it. There will be significant variation from one day to the next, but whether you're exploring what a successful Notion account looks like, building out a core activity data set, or creating a model to identify high potential accounts, you'll absolutely be having impact on the direction of the business.
What You'll Achieve:
You'll partner with one or more go-to-market teams, driving forward all data science and analytics work in their functional areas.",5.0,"Notion
5.0","San Francisco, CA",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$50 - $55 Per Hour(Employer Est.),"Job Description: Summary:
The main function of the Data Scientist is to produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. This position will focus on marketplaces integrity related data analysis .
Job Responsibilities:
Apply your expertise in quantitative analysis and data presentation to see beyond the numbers
Monitor events through dashboards, detect anomalies, and conduct deep dive analysis on specific issues to understand root cause
Willingness to get hands dirty to review samples to understand the MOs used by bad actors and translate findings into data-driven rules/strategies to prevent bad activity on commerce
Communicate to broad cross-functional teams the issue, remediation, and next steps in time-sensitive situations
Partner closely with ops investigations and enforcement teams to collaborate on insights and recommendations to ensure they are actionable
Own investigation requests from product team
Become a subject matter expert in workflows spanning a variety of integrity disciplines",4.7,"Pri Global Inc
4.7","San Francisco, CA",51 to 200 Employees,1997,Company - Private,IT Service,Information Technology,$25 to $50 million (USD)
"Data Scientist, Revenue",$87T - $2L (Glassdoor Est.),"About The Role:
Do you want to help define what data means at Notion? As one of our first Data Scientists, you'll be instrumental in setting what our data strategy looks like as we grow the business, and then doing the hands on work to execute against it. There will be significant variation from one day to the next, but whether you're exploring what a successful Notion account looks like, building out a core activity data set, or creating a model to deliver leads to the sales team, you'll absolutely be having impact on the direction of the business.
What You'll Achieve:
You'll partner with the business operations team to bring analytical rigor to financial reporting, forecasting, and opportunity sizing.",5.0,"Notion
5.0","San Francisco, CA",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Scientist, Revenue",$1L - $2L (Glassdoor Est.),"About The Role:
Do you want to help define what data means at Notion? As one of our first Data Scientists, you'll be instrumental in setting what our data strategy looks like as we grow the business, and then doing the hands on work to execute against it. There will be significant variation from one day to the next, but whether you're exploring what a successful Notion account looks like, building out a core activity data set, or creating a model to deliver leads to the sales team, you'll absolutely be having impact on the direction of the business.
What You'll Achieve:
You'll partner with the business operations team to bring analytical rigor to financial reporting, forecasting, and opportunity sizing.",5.0,"Notion
5.0","San Francisco, CA",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
